File,Language,Transcription,Normalized Transcription
01-1_burps_ah-200106_1520-001.wav,en,Thank you.,Thank you.
01-1_burps_ah-200106_1520-002.wav,en,Uh-uh.,Uhuh.
01-1_burps_ah-200106_1520-003.wav,en,Uh.,Uh.
01-1_burps_ah-200106_1520-004.wav,en,Uh uh,Uh uh
01-1_burps_ah-200106_1520-005.wav,en,Buk!,Buk!
01-1_burps_ah-200106_1520-006.wav,en,Pfft.,Pfft.
01-1_burps_ah-200106_1520-007.wav,en,Ah!,Ah!
01-1_burps_ah-200106_1520-008.wav,en,Uh.,Uh.
01-1_burps_ah-200106_1520-009.wav,en,Thank you.,Thank you.
01-1_burps_ah-200106_1520-010.wav,en,Thank you.,Thank you.
01-1_burps_ah-200106_1520-011.wav,en,Ah!,Ah!
01-1_burps_ah-200106_1520-012.wav,en,Uh.,Uh.
01-1_burps_ah-200106_1520-013.wav,en,Uh.,Uh.
02-regular breathing_mouth_bigger gain-190430_1406.wav,en,I'm going to do it.,I'm going to do it.
03-3_burps_ee - subproject-200106_1542-001.wav,en,E.,E.
03-3_burps_ee - subproject-200106_1542-002.wav,en,"T, T, E. T.","T, T, E. T."
03-3_burps_ee - subproject-200106_1542-003.wav,en,E. E. E. E.,E. E. E. E.
03-3_burps_ee - subproject-200106_1542-004.wav,en,T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T,T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T T
03-3_burps_ee - subproject-200106_1542-005.wav,en,E.,E.
