File,Language,Transcription,Normalized Transcription
11-quick inhales_AH_gain@8+ws-190430_1434-009.wav,en,Huh.,Huh.
11-quick inhales_AH_gain@8+ws-190430_1434-010.wav,en,Huh?,Huh?
11-quick inhales_AH_gain@8+ws-190430_1434-011.wav,en,You,You
11-quick inhales_AH_gain@8+ws-190430_1434-012.wav,en,Huh.,Huh.
11-quick inhales_AH_gain@8+ws-190430_1434-013.wav,en,Huh?,Huh?
11-quick inhales_AH_gain@8+ws-190430_1434-014.wav,en,Huh?,Huh?
11-quick inhales_AH_gain@8+ws-190430_1434-015.wav,en,Huh?,Huh?
11-quick inhales_AH_gain@8+ws-190430_1434-016.wav,en,Huh?,Huh?
11-quick inhales_AH_gain@8+ws-190430_1434-017.wav,en,Huh!,Huh!
11-quick inhales_AH_gain@8+ws-190430_1434-018.wav,en,Huh?,Huh?
11-quick inhales_AH_gain@8+ws-190430_1434-019.wav,en,Huh?,Huh?
11-quick inhales_AH_gain@8+ws-190430_1434-020.wav,en,Huh.,Huh.
11-quick inhales_AH_gain@8+ws-190430_1434-021.wav,en,Huh?,Huh?
12-12_whimpering-200106_1551-001.wav,en,Ha ha!,Ha ha!
51-plosive consonants-190516_2043-glued-006.wav,en,Thank you.,Thank you.
51-plosive consonants-190516_2043-glued-007.wav,en,Thank you.,Thank you.
51-plosive consonants-190516_2043-glued-008.wav,en,"Buh-buh, buh-buh, buh-buh, buh-buh, buh-buh, buh-buh.","Buhbuh, buhbuh, buhbuh, buhbuh, buhbuh, buhbuh."
51-plosive consonants-190516_2043-glued-009.wav,en,"Let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth","Let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth, let it go in the mouth"
52-190430_1538-001-001.wav,en,I,I
52-190430_1538-001-002.wav,en,I,I
52-190430_1538-001-003.wav,en,I,I
52-190430_1538-001-004.wav,en,I,I
52-190430_1538-001-005.wav,en,Bye.,Bye.
52-190430_1538-001-006.wav,en,I,I
52-190430_1538-002-001.wav,ja,い,い
52-190430_1538-002-002.wav,ja,い,い
52-190430_1538-002-003.wav,ja,い,い
52-190430_1538-002-004.wav,ja,い,い
52-190430_1538-002-005.wav,ja,い,い
52-190430_1538-002-006.wav,ja,い,い
